"Type","Symbol & domain","Description and units"
"Non-negative variable","DSM_UP(n,dsm,h)","DSM: Load shifting up hour h technology dsm [MWh]"
"Non-negative variable","DSM_DO(n,dsm,h,hh)","DSM: Load shifting down in hour hh to account for upshifts in hour h technology dsm [MWh]"
"Non-negative variable","DSM_UP_DEMAND(n,dsm,h)","DSM: Load shifting up active for wholesale demand in hour h of technology dsm [MWh]"
"Non-negative variable","DSM_DO_DEMAND(n,dsm,h)","DSM: Load shifting down active for wholesale demand in hour h of technology dsm [MWh]"
"Non-negative variable","N_DSM_CU(n,dsm)","DSM: Load curtailment capacity [MW]"
"Non-negative variable","N_DSM_SHIFT(n,dsm)","DSM: Load shifting capacity [MWh]"
"Non-negative variable","RP_DIS(n,reserves,tech,h)","Reserve provision by conventionals in hour h [MW]"
"Non-negative variable","RP_NONDIS(n,reserves,tech,h)","Reserve provision by renewables in hour h [MW]"
"Non-negative variable","RP_STO_IN(n,reserves,sto,h)","Reserve provision by storage in in hour h [MW]"
"Non-negative variable","RP_STO_OUT(n,reserves,sto,h)","Reserve provision by storage out in hour h [MW]"
"Non-negative variable","RP_EV_V2G(n,reserves,ev,h)","Reserve provision by electric vehicles V2G hour h [MW]"
"Non-negative variable","RP_EV_G2V(n,reserves,ev,h)","Reserve provision by electric vehicles G2V hour h [MW]"
"Non-negative variable","RP_DSM_CU(n,reserves,dsm,h)","Reserve provision by DSM load curtailment in hour h [MW]"
"Non-negative variable","RP_DSM_SHIFT(n,reserves,dsm,h)","Reserve provision by DSM load shifting in hour h [MW]"
"Non-negative variable","RP_RSVR(n,reserves,rsvr,h)","Reserve provision by reservoirs h [MW]"
"Non-negative variable","RP_SETS(n,reserves,bu,ch,h)","Reserve provision by SETS [MW]"
"Non-negative variable","RP_SETS_AUX(n,reserves,bu,ch,h)","Reserve provision by SETS auxiliary DHW modules [MW]"
"Non-negative variable","RP_HP(n,reserves,bu,ch,h)","Reserve provision by heat pumps [MW]"
"Non-negative variable","RP_H_ELEC(n,reserves,bu,ch,h)","Reserve provision by hybrid electric heaters [MW]"
